text,label,intent
你对篮球有什么看法？,4,DOMAIN_CHITCHAT
分析现代篮球战术体系的发展脉络,2,COMPLEX_RELATION_QUERY
篮球给你带来了什么？,4,DOMAIN_CHITCHAT
分析现代篮球战术体系的发展脉络,2,COMPLEX_RELATION_QUERY
对比独行侠和篮网的历史战绩,3,COMPARATIVE_QUERY
和加内特当过队友并且也拿过总冠军的球员有谁？,2,COMPLEX_RELATION_QUERY
邓肯和谁一起打球？,1,SIMPLE_RELATION_QUERY
篮网vs公牛，哪支球队更强？,3,COMPARATIVE_QUERY
篮球运动的魅力在哪里？,4,DOMAIN_CHITCHAT
你对篮球有什么看法？,4,DOMAIN_CHITCHAT
对比分析卡特和杜兰特的打球风格,3,COMPARATIVE_QUERY
谁是76人的老板？,1,SIMPLE_RELATION_QUERY
姚明的生涯数据怎么样？,0,ATTRIBUTE_QUERY
你对篮球有什么看法？,4,DOMAIN_CHITCHAT
谁是雄鹿的老板？,1,SIMPLE_RELATION_QUERY
比较杜兰特和诺维茨基的职业生涯成就,3,COMPARATIVE_QUERY
你怎么看待篮球的商业化？,4,DOMAIN_CHITCHAT
分析现代篮球战术体系的发展脉络,2,COMPLEX_RELATION_QUERY
湖人的明星球员是谁？,1,SIMPLE_RELATION_QUERY
现在的NBA还有观赏性吗？,4,DOMAIN_CHITCHAT
公牛和广东哪个更有冠军相？,3,COMPARATIVE_QUERY
探讨姚明和孙悦的师承关系,2,COMPLEX_RELATION_QUERY
对比森林狼和雷霆的历史战绩,3,COMPARATIVE_QUERY
比较加内特和詹姆斯对篮球运动的影响力,3,COMPARATIVE_QUERY
邓肯多少岁？,0,ATTRIBUTE_QUERY
和孙悦当过队友并且也拿过总冠军的球员有谁？,2,COMPLEX_RELATION_QUERY
谁是骑士的老板？,1,SIMPLE_RELATION_QUERY
哪些球员既在辽宁打过球又在老鹰效力过？,2,COMPLEX_RELATION_QUERY
快船和76人哪个更有冠军相？,3,COMPARATIVE_QUERY
谈谈篮球文化的影响,4,DOMAIN_CHITCHAT
和易建联当过队友并且也拿过总冠军的球员有谁？,2,COMPLEX_RELATION_QUERY
篮球改变了什么？,4,DOMAIN_CHITCHAT
詹姆斯师从哪位教练？,1,SIMPLE_RELATION_QUERY
奥尼尔与科比的技术特点有什么不同？,3,COMPARATIVE_QUERY
分享一下你的篮球故事,4,DOMAIN_CHITCHAT
周琦的生涯数据怎么样？,0,ATTRIBUTE_QUERY
艾弗森在哪个队？,1,SIMPLE_RELATION_QUERY
热火现在的教练是谁？,0,ATTRIBUTE_QUERY
太阳什么时候成立的？,0,ATTRIBUTE_QUERY
詹姆斯几号球衣？,0,ATTRIBUTE_QUERY
爵士什么时候成立的？,0,ATTRIBUTE_QUERY
詹姆斯和谁一起打球？,1,SIMPLE_RELATION_QUERY
诺维茨基与乔丹的技术特点有什么不同？,3,COMPARATIVE_QUERY
比较姚明和杜兰特的职业生涯成就,3,COMPARATIVE_QUERY
对比分析邓肯和丁彦雨航的打球风格,3,COMPARATIVE_QUERY
对比分析纳什和郭艾伦的打球风格,3,COMPARATIVE_QUERY
广东什么时候成立的？,0,ATTRIBUTE_QUERY
盘点与库里有过交集的所有MVP球员,2,COMPLEX_RELATION_QUERY
你心中的篮球英雄是什么样的？,4,DOMAIN_CHITCHAT
韦德哪年出生的？,0,ATTRIBUTE_QUERY
王治郅多高？,0,ATTRIBUTE_QUERY
艾弗森什么位置？,0,ATTRIBUTE_QUERY
和卡特当过队友并且也拿过总冠军的球员有谁？,2,COMPLEX_RELATION_QUERY
分享一下你的篮球故事,4,DOMAIN_CHITCHAT
勇士现在的教练是谁？,0,ATTRIBUTE_QUERY
周琦与巴特尔的技术特点有什么不同？,3,COMPARATIVE_QUERY
奥尼尔几号球衣？,0,ATTRIBUTE_QUERY
盘点与巴特尔有过交集的所有MVP球员,2,COMPLEX_RELATION_QUERY
火箭现在的教练是谁？,0,ATTRIBUTE_QUERY
姚明与艾弗森的技术特点有什么不同？,3,COMPARATIVE_QUERY
库里哪年出生的？,0,ATTRIBUTE_QUERY
评价周琦和诺维茨基的历史地位,3,COMPARATIVE_QUERY
王治郅的经纪人是谁？,1,SIMPLE_RELATION_QUERY
分析现代篮球战术体系的发展脉络,2,COMPLEX_RELATION_QUERY
比较纳什和易建联的职业生涯成就,3,COMPARATIVE_QUERY
探讨乔丹和加内特的师承关系,2,COMPLEX_RELATION_QUERY
现在的NBA还有观赏性吗？,4,DOMAIN_CHITCHAT
国王的主场在哪？,0,ATTRIBUTE_QUERY
梳理湖人历史上的重要交易和转会,2,COMPLEX_RELATION_QUERY
你心中的篮球英雄是什么样的？,4,DOMAIN_CHITCHAT
周琦的身高是多少？,0,ATTRIBUTE_QUERY
杜兰特几号球衣？,0,ATTRIBUTE_QUERY
独行侠和公牛哪个更有冠军相？,3,COMPARATIVE_QUERY
分析奥尼尔和加内特的领导力差异,3,COMPARATIVE_QUERY
巴特尔在哪个队？,1,SIMPLE_RELATION_QUERY
哪些球员既在辽宁打过球又在热火效力过？,2,COMPLEX_RELATION_QUERY
对比广东和掘金的历史战绩,3,COMPARATIVE_QUERY
乔丹的教练是谁？,1,SIMPLE_RELATION_QUERY
篮球最吸引你的是什么？,4,DOMAIN_CHITCHAT
总结活塞王朝时期的核心阵容变迁,2,COMPLEX_RELATION_QUERY
邓肯的教练是谁？,1,SIMPLE_RELATION_QUERY
76人的明星球员是谁？,1,SIMPLE_RELATION_QUERY
活塞和骑士哪个更有冠军相？,3,COMPARATIVE_QUERY
骑士什么时候成立的？,0,ATTRIBUTE_QUERY
盘点与乔丹有过交集的所有MVP球员,2,COMPLEX_RELATION_QUERY
分析现代篮球战术体系的发展脉络,2,COMPLEX_RELATION_QUERY
艾弗森多少岁？,0,ATTRIBUTE_QUERY
周琦多少岁？,0,ATTRIBUTE_QUERY
哪些球员既在雷霆打过球又在公牛效力过？,2,COMPLEX_RELATION_QUERY
总结马刺王朝时期的核心阵容变迁,2,COMPLEX_RELATION_QUERY
篮球改变了什么？,4,DOMAIN_CHITCHAT
库里的队友有谁？,1,SIMPLE_RELATION_QUERY
评价麦迪和王治郅的历史地位,3,COMPARATIVE_QUERY
易建联和科比谁的得分能力更强？,3,COMPARATIVE_QUERY
聊聊你最喜欢的篮球时刻,4,DOMAIN_CHITCHAT
杜兰特的教练是谁？,1,SIMPLE_RELATION_QUERY
巴特尔的队友有谁？,1,SIMPLE_RELATION_QUERY
掘金的队长是谁？,1,SIMPLE_RELATION_QUERY
你对篮球有什么看法？,4,DOMAIN_CHITCHAT
评价库里和巴特尔的历史地位,3,COMPARATIVE_QUERY
如何评价现代篮球的发展？,4,DOMAIN_CHITCHAT
和纳什当过队友并且也拿过总冠军的球员有谁？,2,COMPLEX_RELATION_QUERY
对比分析卡特和纳什的打球风格,3,COMPARATIVE_QUERY
比较姚明和科比对篮球运动的影响力,3,COMPARATIVE_QUERY
快船什么时候成立的？,0,ATTRIBUTE_QUERY
麦迪的生涯数据怎么样？,0,ATTRIBUTE_QUERY
你心中的篮球英雄是什么样的？,4,DOMAIN_CHITCHAT
篮球最吸引你的是什么？,4,DOMAIN_CHITCHAT
你对篮球有什么看法？,4,DOMAIN_CHITCHAT
谁是篮网的老板？,1,SIMPLE_RELATION_QUERY
如何评价现代篮球的发展？,4,DOMAIN_CHITCHAT
奥尼尔多高？,0,ATTRIBUTE_QUERY
你觉得谁是历史第一人？,4,DOMAIN_CHITCHAT
盘点与诺维茨基有过交集的所有MVP球员,2,COMPLEX_RELATION_QUERY
篮球最吸引你的是什么？,4,DOMAIN_CHITCHAT
詹姆斯几号球衣？,0,ATTRIBUTE_QUERY
篮球最吸引你的是什么？,4,DOMAIN_CHITCHAT
姚明的经纪人是谁？,1,SIMPLE_RELATION_QUERY
聊聊篮球带给人们的启发,4,DOMAIN_CHITCHAT
奇才的队长是谁？,1,SIMPLE_RELATION_QUERY
科比的队友有谁？,1,SIMPLE_RELATION_QUERY
郭艾伦职业生涯都和哪些教练合作过？,2,COMPLEX_RELATION_QUERY
巴特尔的队友有谁？,1,SIMPLE_RELATION_QUERY
快船的主场在哪？,0,ATTRIBUTE_QUERY
比较科比和易建联对篮球运动的影响力,3,COMPARATIVE_QUERY
乔丹与麦迪的技术特点有什么不同？,3,COMPARATIVE_QUERY
和姚明当过队友并且也拿过总冠军的球员有谁？,2,COMPLEX_RELATION_QUERY
比较纳什和孙悦对篮球运动的影响力,3,COMPARATIVE_QUERY
盘点与姚明有过交集的所有MVP球员,2,COMPLEX_RELATION_QUERY
库里的职业生涯轨迹和重要节点分析,2,COMPLEX_RELATION_QUERY
谁是老鹰的老板？,1,SIMPLE_RELATION_QUERY
你心中的篮球英雄是什么样的？,4,DOMAIN_CHITCHAT
现在的NBA还有观赏性吗？,4,DOMAIN_CHITCHAT
盘点与姚明有过交集的所有MVP球员,2,COMPLEX_RELATION_QUERY
查询乔丹的基本信息,0,ATTRIBUTE_QUERY
分析科比和库里的领导力差异,3,COMPARATIVE_QUERY
巴特尔的生涯数据怎么样？,0,ATTRIBUTE_QUERY
丁彦雨航和谁一起打球？,1,SIMPLE_RELATION_QUERY
猛龙有哪些球员？,1,SIMPLE_RELATION_QUERY
艾弗森在哪个队？,1,SIMPLE_RELATION_QUERY
库里什么位置？,0,ATTRIBUTE_QUERY
王治郅多少岁？,0,ATTRIBUTE_QUERY
篮球最吸引你的是什么？,4,DOMAIN_CHITCHAT
郭艾伦与韦德的技术特点有什么不同？,3,COMPARATIVE_QUERY
对比掘金和广东的历史战绩,3,COMPARATIVE_QUERY
分析乔丹对骑士历史地位的影响,2,COMPLEX_RELATION_QUERY
哪些球员既在湖人打过球又在太阳效力过？,2,COMPLEX_RELATION_QUERY
谁是篮网的老板？,1,SIMPLE_RELATION_QUERY
你心中的篮球英雄是什么样的？,4,DOMAIN_CHITCHAT
篮球改变了什么？,4,DOMAIN_CHITCHAT
现在的NBA还有观赏性吗？,4,DOMAIN_CHITCHAT
评价杜兰特和詹姆斯的历史地位,3,COMPARATIVE_QUERY
对比分析科比和易建联的打球风格,3,COMPARATIVE_QUERY
麦迪的经纪人是谁？,1,SIMPLE_RELATION_QUERY
谈谈篮球文化的影响,4,DOMAIN_CHITCHAT
梳理尼克斯历史上的重要交易和转会,2,COMPLEX_RELATION_QUERY
盘点与邓肯有过交集的所有MVP球员,2,COMPLEX_RELATION_QUERY
易建联什么位置？,0,ATTRIBUTE_QUERY
篮球改变了什么？,4,DOMAIN_CHITCHAT
凯尔特人现在的教练是谁？,0,ATTRIBUTE_QUERY
韦德什么位置？,0,ATTRIBUTE_QUERY
郭艾伦师从哪位教练？,1,SIMPLE_RELATION_QUERY
诺维茨基职业生涯都和哪些教练合作过？,2,COMPLEX_RELATION_QUERY
梳理活塞历史上的重要交易和转会,2,COMPLEX_RELATION_QUERY
奥尼尔职业生涯都和哪些教练合作过？,2,COMPLEX_RELATION_QUERY
黄蜂什么时候成立的？,0,ATTRIBUTE_QUERY
篮球最吸引你的是什么？,4,DOMAIN_CHITCHAT
科比职业生涯都和哪些教练合作过？,2,COMPLEX_RELATION_QUERY
篮球改变了什么？,4,DOMAIN_CHITCHAT
比较乔丹和科比对篮球运动的影响力,3,COMPARATIVE_QUERY
杜兰特的经纪人是谁？,1,SIMPLE_RELATION_QUERY
梳理尼克斯历史上的重要交易和转会,2,COMPLEX_RELATION_QUERY
对比分析麦迪和库里的打球风格,3,COMPARATIVE_QUERY
奥尼尔和谁一起打球？,1,SIMPLE_RELATION_QUERY
开拓者和76人哪个更有冠军相？,3,COMPARATIVE_QUERY
盘点与奥尼尔有过交集的所有MVP球员,2,COMPLEX_RELATION_QUERY
盘点与科比有过交集的所有MVP球员,2,COMPLEX_RELATION_QUERY
周琦的教练是谁？,1,SIMPLE_RELATION_QUERY
奥尼尔的经纪人是谁？,1,SIMPLE_RELATION_QUERY
詹姆斯与姚明的技术特点有什么不同？,3,COMPARATIVE_QUERY
周琦的职业生涯轨迹和重要节点分析,2,COMPLEX_RELATION_QUERY
现在的NBA还有观赏性吗？,4,DOMAIN_CHITCHAT
詹姆斯几号球衣？,0,ATTRIBUTE_QUERY
加内特与乔丹的技术特点有什么不同？,3,COMPARATIVE_QUERY
篮球运动的魅力在哪里？,4,DOMAIN_CHITCHAT
比较巴特尔和杜兰特对篮球运动的影响力,3,COMPARATIVE_QUERY
乔丹几号球衣？,0,ATTRIBUTE_QUERY
诺维茨基哪年出生的？,0,ATTRIBUTE_QUERY
和诺维茨基当过队友并且也拿过总冠军的球员有谁？,2,COMPLEX_RELATION_QUERY
你心中的篮球英雄是什么样的？,4,DOMAIN_CHITCHAT
评价易建联和詹姆斯的历史地位,3,COMPARATIVE_QUERY
郭艾伦的身高是多少？,0,ATTRIBUTE_QUERY
谈谈篮球文化的影响,4,DOMAIN_CHITCHAT
和姚明当过队友并且也拿过总冠军的球员有谁？,2,COMPLEX_RELATION_QUERY
姚明的身高是多少？,0,ATTRIBUTE_QUERY
邓肯什么位置？,0,ATTRIBUTE_QUERY
查询库里的基本信息,0,ATTRIBUTE_QUERY
王治郅哪年出生的？,0,ATTRIBUTE_QUERY
盘点与诺维茨基有过交集的所有MVP球员,2,COMPLEX_RELATION_QUERY
你认为什么是篮球精神？,4,DOMAIN_CHITCHAT
王治郅的生涯数据怎么样？,0,ATTRIBUTE_QUERY
詹姆斯和加内特谁的得分能力更强？,3,COMPARATIVE_QUERY
哪些球员既在雷霆打过球又在奇才效力过？,2,COMPLEX_RELATION_QUERY
篮网有哪些球员？,1,SIMPLE_RELATION_QUERY
梳理公牛历史上的重要交易和转会,2,COMPLEX_RELATION_QUERY
篮球改变了什么？,4,DOMAIN_CHITCHAT
周琦的经纪人是谁？,1,SIMPLE_RELATION_QUERY
姚明什么位置？,0,ATTRIBUTE_QUERY
步行者vs森林狼，哪支球队更强？,3,COMPARATIVE_QUERY
公牛什么时候成立的？,0,ATTRIBUTE_QUERY
盘点与詹姆斯有过交集的所有MVP球员,2,COMPLEX_RELATION_QUERY
盘点与杜兰特有过交集的所有MVP球员,2,COMPLEX_RELATION_QUERY
聊聊你最喜欢的篮球时刻,4,DOMAIN_CHITCHAT
卡特多少岁？,0,ATTRIBUTE_QUERY
爵士vs火箭，哪支球队更强？,3,COMPARATIVE_QUERY
盘点与易建联有过交集的所有MVP球员,2,COMPLEX_RELATION_QUERY
分析巴特尔和乔丹的领导力差异,3,COMPARATIVE_QUERY
和纳什当过队友并且也拿过总冠军的球员有谁？,2,COMPLEX_RELATION_QUERY
对比活塞和猛龙的历史战绩,3,COMPARATIVE_QUERY
哪些球员既在湖人打过球又在老鹰效力过？,2,COMPLEX_RELATION_QUERY
76人的明星球员是谁？,1,SIMPLE_RELATION_QUERY
热火什么时候成立的？,0,ATTRIBUTE_QUERY
对比勇士和湖人的历史战绩,3,COMPARATIVE_QUERY
分析纳什和加内特的领导力差异,3,COMPARATIVE_QUERY
篮球改变了什么？,4,DOMAIN_CHITCHAT
如何评价现代篮球的发展？,4,DOMAIN_CHITCHAT
奥尼尔职业生涯都和哪些教练合作过？,2,COMPLEX_RELATION_QUERY
乔丹的职业生涯轨迹和重要节点分析,2,COMPLEX_RELATION_QUERY
比较麦迪和丁彦雨航对篮球运动的影响力,3,COMPARATIVE_QUERY
