text,label
Kobe什么位置？,0
teammates of 詹姆斯?,1
分析Warriors的历史,1
奥尼尔身高？,0
姚明多少岁？,0
湖人和凯尔特人哪个更厉害？,1
库里和LeBron谁更强？,1
奥尼尔 team?,0
科比 height?,0
库里身高？,0
LeBron身高？,0
LeBron team?,0
Kobe age?,0
比较邓肯和加内特,1
为什么LeBron被称为Black Mamba？,1
Jordan身高？,0
Kobe和LeBron什么关系？,1
Rockets在哪个城市？,0
Spurs在哪个城市？,0
Jordan和奥尼尔什么关系？,1
姚明 team?,0
if Kobe and LeBron same team?,1
火箭队主场在哪？,0
詹姆斯在哪队？,0
analyze Spurs history,1
凯尔特人 location?,0
Kobe vs LeBron who better?,1
Shaq and Yao Ming relationship?,1
Shaq身高？,0
analyze Rockets history,1
姚明几号？,0
姚明和Shaq谁更强？,1
Kobe team?,0
和姚明同时期超过2米的中锋？,1
分析Spurs的历史,1
Jordan age?,0
分析Rockets的历史,1
科比和库里什么关系？,1
analyze Warriors history,1
乔丹身高？,0
库里和科比谁更强？,1
Yao Ming和姚明什么关系？,1
库里和Shaq谁更强？,1
詹姆斯和Duncan什么关系？,1
詹姆斯 age?,0
姚明什么时候退役？,0
Kobe position?,0
Lakers players who won championship?,1
Yao Ming height?,0
Duncan和Jordan什么关系？,1
分析Lakers的历史,1
詹姆斯现在哪个队？,0
Curry position?,0
詹姆斯多少岁？,0
奥尼尔 team?,0
Duncan team?,0
analyze Rockets history,1
湖人 location?,0
姚明和詹姆斯有什么共同点？,1
如何评价詹姆斯生涯？,1
Kobe和奥尼尔什么关系？,1
杜兰特 position?,0
乔丹 team?,0
奥尼尔和科比谁更强？,1
analyze 勇士 history,1
explain triangle offense?,1
姚明 position?,0
乔丹 height?,0
哪些球员是科比的队友？,1
姚明几号球衣？,0
Celtics在哪个城市？,0
Duncan几号球衣？,0
LeBron number?,0
奥尼尔 position?,0
LeBron and Yao Ming relationship?,1
奥尼尔和LeBron什么关系？,1
Yao Ming number?,0
Kobe total points?,0
詹姆斯位置？,0
姚明哪国人？,0
Kobe jersey number?,0
科比身高？,0
科比 position?,0
奥尼尔 height?,0
who better Shaq or 杜兰特?,1
库里 age?,0
分析火箭的历史,1
为什么Kobe被称为石佛？,1
Kobe和杜兰特什么关系？,1
Kobe and Curry relationship?,1
Jordan position?,0
Yao Ming height?,0
乔丹 age?,0
LeBron career points?,0
Jordan height?,0
teammates of 姚明?,1
analyze 勇士 history,1
马刺在哪个城市？,0
who are Kobe teammates?,1
how connect Yao Ming and Kobe?,1
乔丹多少岁？,0
analyze Spurs history,1
analyze Chinese players impact in NBA,1
火箭队平均年龄？,1
哪些球员是Kobe的队友？,1
姚明什么时候出生的？,0
analyze 火箭 history,1
科比总得分？,0
Kobe和库里谁更强？,1
analyze 湖人 history,1
如果邓肯去了其他队？,1
Lakers在哪个城市？,0
Yao Ming teammates list?,1
Duncan多少岁？,0
为什么Kobe被称为小皇帝？,1
奥尼尔多高？,0
詹姆斯第几顺位？,0
teammates of Duncan?,1
Yao Ming和库里什么关系？,1
LeBron position?,0
杜兰特在哪队？,0
乔丹多少岁？,0
Kobe和Duncan谁更强？,1
奥尼尔 team?,0
姚明 and Jordan relationship?,1
path from Rockets to Lakers?,1
哪些球员是詹姆斯的队友？,1
Kobe和Yao Ming什么关系？,1
奥尼尔和邓肯谁更强？,1
詹姆斯 age?,0
詹姆斯 height?,0
杜兰特几号球衣？,0
Kobe team?,0
Yao Ming age?,0
LeBron height?,0
东部西部哪个更强？,1
詹姆斯什么位置？,0
Yao Ming position?,0
Rockets在哪个城市？,0
when Yao Ming retire?,0
为什么邓肯被称为石佛？,1
analyze 马刺 history,1
为什么奥尼尔被称为大鲨鱼？,1
Kobe development journey,1
乔丹 height?,0
Lakers vs Celtics which better?,1
姚明和科比什么关系？,1
为什么奥尼尔被称为小皇帝？,1
analyze Lakers history,1
科比 age?,0
为什么科比被称为Black Mamba？,1
哪个球队冠军最多？,1
Lakers location?,0
邓肯什么位置？,0
analyze Spurs history,1
Yao Ming和杜兰特什么关系？,1
teammates of 杜兰特?,1
奥尼尔 position?,0
analyze Spurs history,1
analyze Lakers dynasty,1
analyze 勇士 history,1
Jordan多少岁？,0
how many Lakers players?,1
analyze 勇士 history,1
Duncan championships?,0
Lakers在哪个城市？,0
奥尼尔 and 姚明 relationship?,1
科比职业生涯所有队友,1
Kobe nationality?,0
哪些球员是杜兰特的队友？,1
詹姆斯生涯得分？,0
哪些球员是科比的队友？,1
Kobe retired?,0
Lakers在哪个城市？,0
analyze 马刺 history,1
马刺 location?,0
邓肯多重？,0
科比效力哪个球队？,0
詹姆斯球衣号码？,0
詹姆斯有多高？,0
科比什么位置？,0
姚明 height?,0
姚明和奥尼尔谁更高？,1
姚明身高？,0
Kobe什么位置？,0
乔丹 age?,0
analyze 马刺 history,1
analyze Celtics history,1
分析Warriors的历史,1
詹姆斯生日？,0
who better 乔丹 or Yao Ming?,1
Yao Ming在哪队？,0
Yao Ming和詹姆斯什么关系？,1
analyze 凯尔特人 history,1
LeBron draft position?,0
分析勇士的历史,1
科比 height?,0
Shaq和Curry谁更强？,1
Celtics location?,0
科比和杜兰特什么关系？,1
Duncan和乔丹谁更强？,1
who better 杜兰特 or 邓肯?,1
Curry和詹姆斯什么关系？,1
中国球员和美国球员的联系？,1
LeBron什么位置？,0
Lakers location?,0
姚明在哪个队？,0
科比几号球衣？,0
Kobe和乔丹谁更强？,1
analyze Lakers history,1
科比来自哪里？,0
凯尔特人在哪个城市？,0
Yao Ming position?,0
邓肯还在打球吗？,0
哪些球员是邓肯的队友？,1
Yao Ming height?,0
Jordan什么位置？,0
邓肯几个戒指？,0
analyze 火箭 history,1
科比退役了吗？,0
从火箭队到湖人队有哪些球员转会？,1
詹姆斯多少岁？,0
姚明场均得分？,0
姚明和Shaq什么关系？,1
为什么杜兰特被称为黑曼巴？,1
库里多少岁？,0
姚明在哪队？,0
在火箭打过球的中国球员,1
who better LeBron or 乔丹?,1
Duncan team?,0
詹姆斯多少岁？,0
分析火箭的历史,1
