text,label,intent
Review Suns's important trades and transfers in history,2,COMPLEX_RELATION_QUERY
When was Allen Iverson born?,0,ATTRIBUTE_QUERY
Tell me about Kevin Durant's career data,0,ATTRIBUTE_QUERY
Which players are on Lakers?,1,SIMPLE_RELATION_QUERY
Share your favorite basketball moments,4,DOMAIN_CHITCHAT
"Which team has more championship potential, Kings or Hornets?",3,COMPARATIVE_QUERY
What do you think about basketball commercialization?,4,DOMAIN_CHITCHAT
When was Hornets founded?,0,ATTRIBUTE_QUERY
Who are Nuggets's star players?,1,SIMPLE_RELATION_QUERY
What attracts you most about basketball?,4,DOMAIN_CHITCHAT
Which players are on Hawks?,1,SIMPLE_RELATION_QUERY
Share your basketball story,4,DOMAIN_CHITCHAT
"Who has better scoring ability, Vince Carter or Wilt Chamberlain?",3,COMPARATIVE_QUERY
Tell me about Jeremy Lin's career data,0,ATTRIBUTE_QUERY
List all MVP players who had interactions with Dwyane Wade,2,COMPLEX_RELATION_QUERY
When was Spurs founded?,0,ATTRIBUTE_QUERY
Share the inspiration basketball brings to people,4,DOMAIN_CHITCHAT
Talk about basketball culture's influence,4,DOMAIN_CHITCHAT
Who is LeBron James's agent?,1,SIMPLE_RELATION_QUERY
Which coach did Bill Russell learn from?,1,SIMPLE_RELATION_QUERY
"Who has better scoring ability, Jeremy Lin or Tracy McGrady?",3,COMPARATIVE_QUERY
Where is Raptors's home court?,0,ATTRIBUTE_QUERY
Compare and analyze Kevin Garnett and Steve Nash's playing styles,3,COMPARATIVE_QUERY
What are the differences in technical styles between Wilt Chamberlain and Scottie Pippen?,3,COMPARATIVE_QUERY
Who are Suns's star players?,1,SIMPLE_RELATION_QUERY
What are the differences in technical styles between Kareem Abdul-Jabbar and Tracy McGrady?,3,COMPARATIVE_QUERY
Who do you think is the GOAT?,4,DOMAIN_CHITCHAT
What attracts you most about basketball?,4,DOMAIN_CHITCHAT
Who owns Trail Blazers?,1,SIMPLE_RELATION_QUERY
Who do you think is the GOAT?,4,DOMAIN_CHITCHAT
Who is Nuggets's captain?,1,SIMPLE_RELATION_QUERY
Review Trail Blazers's important trades and transfers in history,2,COMPLEX_RELATION_QUERY
Which coach did Kevin Garnett learn from?,1,SIMPLE_RELATION_QUERY
Explore the mentorship relationship between Tracy McGrady and Zhizhi Wang,2,COMPLEX_RELATION_QUERY
Summarize Pacers's core roster changes during their dynasty period,2,COMPLEX_RELATION_QUERY
"Who has better scoring ability, Tracy McGrady or Kevin Garnett?",3,COMPARATIVE_QUERY
"Which team has more championship potential, Clippers or Suns?",3,COMPARATIVE_QUERY
What do you think about basketball commercialization?,4,DOMAIN_CHITCHAT
Share your favorite basketball moments,4,DOMAIN_CHITCHAT
Which coaches did Scottie Pippen work with throughout their career?,2,COMPLEX_RELATION_QUERY
Explore the mentorship relationship between Zhizhi Wang and Scottie Pippen,2,COMPLEX_RELATION_QUERY
Compare and analyze Bill Russell and Jeremy Lin's playing styles,3,COMPARATIVE_QUERY
Compare Tracy McGrady and Jeremy Lin's career achievements,3,COMPARATIVE_QUERY
Share the inspiration basketball brings to people,4,DOMAIN_CHITCHAT
Analyze Kareem Abdul-Jabbar's impact on Thunder's historical status,2,COMPLEX_RELATION_QUERY
How old is Yi Jianlian?,0,ATTRIBUTE_QUERY
"Which team has more championship potential, Bucks or Nets?",3,COMPARATIVE_QUERY
Where is Bucks's home court?,0,ATTRIBUTE_QUERY
Share the inspiration basketball brings to people,4,DOMAIN_CHITCHAT
Share the inspiration basketball brings to people,4,DOMAIN_CHITCHAT
"Who has better scoring ability, Bill Russell or Kareem Abdul-Jabbar?",3,COMPARATIVE_QUERY
Where is Magic's home court?,0,ATTRIBUTE_QUERY
What has basketball brought to you?,4,DOMAIN_CHITCHAT
